"Step","robustness_e8_5_no3 - train/loss","robustness_e8_5_no3 - train/loss__MIN","robustness_e8_5_no3 - train/loss__MAX"
"200","7.462055566310883","7.462055566310883","7.462055566310883"
"400","3.3316139960289","3.3316139960289","3.3316139960289"
"600","2.8110306918621064","2.8110306918621064","2.8110306918621064"
"800","2.529390214085579","2.529390214085579","2.529390214085579"
"1000","2.3741592651605608","2.3741592651605608","2.3741592651605608"
"1200","2.1439777809381484","2.1439777809381484","2.1439777809381484"
"1400","1.9705357939004897","1.9705357939004897","1.9705357939004897"
"1600","1.7760886842012404","1.7760886842012404","1.7760886842012404"
"1800","1.6388113856315614","1.6388113856315614","1.6388113856315614"
"2000","1.5409371864795685","1.5409371864795685","1.5409371864795685"
"2200","1.422447355389595","1.422447355389595","1.422447355389595"
"2400","1.3370304644107818","1.3370304644107818","1.3370304644107818"
"2600","1.2548375481367111","1.2548375481367111","1.2548375481367111"
"2800","1.1664548000693322","1.1664548000693322","1.1664548000693322"
"3000","1.0776442632079124","1.0776442632079124","1.0776442632079124"
"3200","1.007946507036686","1.007946507036686","1.007946507036686"
"3400","0.9508175700902939","0.9508175700902939","0.9508175700902939"
"3600","0.8765622121095658","0.8765622121095658","0.8765622121095658"
"3800","0.8070543405413627","0.8070543405413627","0.8070543405413627"
"4000","0.7564049765467644","0.7564049765467644","0.7564049765467644"
"4200","0.7215593189001084","0.7215593189001084","0.7215593189001084"
"4400","0.6657950820028782","0.6657950820028782","0.6657950820028782"
"4600","0.6166739524900913","0.6166739524900913","0.6166739524900913"
"4800","0.578814433068037","0.578814433068037","0.578814433068037"
"5000","0.5441490511596203","0.5441490511596203","0.5441490511596203"
"5200","0.5172475627064705","0.5172475627064705","0.5172475627064705"
"5400","0.48403110265731814","0.48403110265731814","0.48403110265731814"
"5600","0.46108497470617293","0.46108497470617293","0.46108497470617293"
"5800","0.43042421728372576","0.43042421728372576","0.43042421728372576"
"6000","0.4084552252292633","0.4084552252292633","0.4084552252292633"
"6200","0.3966863091289997","0.3966863091289997","0.3966863091289997"
"6400","0.36980754107236863","0.36980754107236863","0.36980754107236863"
"6600","0.3608547107875347","0.3608547107875347","0.3608547107875347"
"6800","0.35368881963193416","0.35368881963193416","0.35368881963193416"
"7000","0.3305079913884401","0.3305079913884401","0.3305079913884401"
"7200","0.3271251640468836","0.3271251640468836","0.3271251640468836"
"7400","0.31170595087110997","0.31170595087110997","0.31170595087110997"
"7600","0.304580297768116","0.304580297768116","0.304580297768116"
"7800","0.28601854406297206","0.28601854406297206","0.28601854406297206"
"8000","0.27878914795815946","0.27878914795815946","0.27878914795815946"
"8200","0.2743739842623472","0.2743739842623472","0.2743739842623472"
"8400","0.27482372283935547","0.27482372283935547","0.27482372283935547"
"8600","0.2603948377817869","0.2603948377817869","0.2603948377817869"
"8800","0.25894021324813365","0.25894021324813365","0.25894021324813365"
"9000","0.24804096840322018","0.24804096840322018","0.24804096840322018"
"9200","0.24781985856592656","0.24781985856592656","0.24781985856592656"
"9400","0.24431392788887024","0.24431392788887024","0.24431392788887024"
"9600","0.23149052619934082","0.23149052619934082","0.23149052619934082"
"9800","0.23065556444227694","0.23065556444227694","0.23065556444227694"
"10000","0.22314267359673978","0.22314267359673978","0.22314267359673978"
"10200","0.2188143692165613","0.2188143692165613","0.2188143692165613"
"10400","0.22015571810305118","0.22015571810305118","0.22015571810305118"
"10600","0.21547130279242993","0.21547130279242993","0.21547130279242993"
"10800","0.2120845279842615","0.2120845279842615","0.2120845279842615"
"11000","0.2026104660704732","0.2026104660704732","0.2026104660704732"
"11200","0.20728995598852634","0.20728995598852634","0.20728995598852634"
"11400","0.2019396813213825","0.2019396813213825","0.2019396813213825"
"11600","0.19309156380593775","0.19309156380593775","0.19309156380593775"
"11800","0.19288015756756066","0.19288015756756066","0.19288015756756066"
"12000","0.20065353326499463","0.20065353326499463","0.20065353326499463"
"12200","0.18963265482336283","0.18963265482336283","0.18963265482336283"
"12400","0.18454108234494926","0.18454108234494926","0.18454108234494926"
"12600","0.18949126631021498","0.18949126631021498","0.18949126631021498"
"12800","0.18194894336163997","0.18194894336163997","0.18194894336163997"
"13000","0.1823136380314827","0.1823136380314827","0.1823136380314827"
"13200","0.17977301210165023","0.17977301210165023","0.17977301210165023"
"13400","0.1779348384216428","0.1779348384216428","0.1779348384216428"
"13600","0.1786455539241433","0.1786455539241433","0.1786455539241433"
"13800","0.1733056203648448","0.1733056203648448","0.1733056203648448"
"14000","0.1741911244392395","0.1741911244392395","0.1741911244392395"
"14200","0.17092417351901532","0.17092417351901532","0.17092417351901532"
"14400","0.1647832891717553","0.1647832891717553","0.1647832891717553"
"14600","0.16327900767326356","0.16327900767326356","0.16327900767326356"
"14800","0.16394602183252574","0.16394602183252574","0.16394602183252574"
"15000","0.16212828617542982","0.16212828617542982","0.16212828617542982"
"15200","0.1548718733713031","0.1548718733713031","0.1548718733713031"
"15400","0.16306832253932954","0.16306832253932954","0.16306832253932954"
"15600","0.15990368273109198","0.15990368273109198","0.15990368273109198"
"15800","0.16279661908745766","0.16279661908745766","0.16279661908745766"
"16000","0.15693255238234996","0.15693255238234996","0.15693255238234996"
"16200","0.15720227230340242","0.15720227230340242","0.15720227230340242"
"16400","0.15354132536798715","0.15354132536798715","0.15354132536798715"
